_editors_choice,_game_types,_comments,_price,_updated,_size,_installs,_version,_required_android,_content_rating,_interactive_elements,_in_app_products,_offered_by,_developer
0,"['Higgs Studio', 'Board']","25,435 total",Install,2 December 2020,66M,"5,000,000+",1.7.1,4.4 and up,"Rated for 3+
Learn more",In-game purchases,"₹80.00 – ₹7,100.00 per item",Higgs Studio,"Visit website
TileConnectGame@gmail.com
Privacy Policy
OFFICE UNIT B ON 9/F THOMSON COMMERCIAL BUTLDING 8 THOMSON ROAD HK"
0,"['Fun Games For Free', 'Action']","1,37,76,326 total",Install,4 December 2020,118M,"100,000,000+",3.22.2,4.1 and up,"Rated for 18+
Extreme violence
Learn more",Digital purchases,"₹64.53 – ₹8,700.00 per item",Fun Games For Free,"Visit website
support+sniper3d@fungames-forfree.com
Privacy Policy
25-28 North Wall Quay, Dublin 01, IRELAND"
0,"['Fun Free Fun', 'Puzzle']","6,29,177 total",Install,28 November 2020,28M,"50,000,000+",34.0,4.1 and up,"Rated for 3+
Learn more",none,none,Fun Free Fun,"Visit website
beego86go@gmail.com
Privacy Policy"
0,"['Frolics Free Games', 'Racing']","31,619 total",Install,9 December 2020,48M,"10,000,000+",2.53,4.1 and up,"Rated for 3+
Learn more",Digital purchases,"₹75.00 – ₹1,750.00 per item",Frolics Free Games,"Visit website
frolics.tech@gmail.com
Privacy Policy
City Faisalabad, Pakistan"
Editors' Choice,"['RedFish Games', 'Sports']","4,94,416 total",Install,24 July 2020,70M,"10,000,000+",5.00.5009.5,4.1 and up,"Rated for 3+
Learn more",Digital purchases,"₹50.00 – ₹4,200.00 per item",RedFish Games,"Visit website
badminton@redfishgame.com
Privacy Policy
Hang Pont Commercial Building. 31 Tonkin Street, Cheung Sha Wan, Kowloon, Hongkong"
0,"['Fingersoft', 'Racing']","39,58,153 total",Install,7 December 2020,137M,"100,000,000+",1.41.1,4.2 and up,"Rated for 3+
Learn more","Users interact, In-game purchases","₹10.00 – ₹1,600.00 per item",Fingersoft,"Visit website
support@fingersoft.com
Privacy Policy
Fingersoft Oy Aleksanterinkatu 4-6 90100 Oulu"
0,"['Higgs Studio', 'Board']","89,386 total",Install,7 December 2020,Varies with device,"10,000,000+",2.1.5,4.4 and up,"Rated for 3+
Learn more",In-game purchases,"₹80.00 – ₹8,900.00 per item",Higgs Studio,"Visit website
TileMasterPuzzle@gmail.com
Privacy Policy
OFFICE UNIT B ON 9/F THOMSON COMMERCIAL BUTLDING 8 THOMSON ROAD HK"
0,"['Fighting Arena', 'Adventure']","69,148 total",Install,8 December 2020,Varies with device,"10,000,000+",2.3.6,4.1 and up,"Rated for 12+
Moderate violence
Learn more",none,₹90.00 – ₹650.00 per item,Fighting Arena,"Visit website
ask.fightingarenainc@gmail.com
Privacy Policy
Johar town, Lahore"
0,"['Chess Prince', 'Board']","13,78,676 total",Install,12 August 2020,2.9M,"100,000,000+",2.7.4,4.1 and up,"Rated for 3+
Learn more",none,₹90.00 – ₹310.00 per item,Chess Prince,"Visit website
help.chess@mail.ru
Esenina 8 Minsk 220025 Belarus"
0,"['Playgendary', 'Arcade']","13,19,535 total",Install,21 September 2020,128M,"100,000,000+",1.5.2,5.0 and up,"Rated for 7+
Mild violence
Learn more",none,"₹159.00 – ₹6,300.00 per item",Playgendary,"Visit website
support@playgendary.com
Privacy Policy
Landshuter Allee 8-10, 80637 Munich, Germany"
0,"['Supersonic Studios LTD', 'Action']","1,62,977 total",Install,7 December 2020,85M,"10,000,000+",1.4.3,4.4 and up,"Rated for 3+
Learn more",In-game purchases,₹240.00 per item,Supersonic Studios LTD,"Visit website
support@supersonic.com
Privacy Policy
Menachem Begin 121, Tel Aviv"
0,"['GameResort', 'Arcade']","6,61,913 total",Install,20 August 2020,38M,"50,000,000+",3.2.8,4.4 and up,"Rated for 7+
Mild violence
Learn more",In-game purchases,"₹70.00 – ₹1,050.00 per item",GameResort,"Visit website
contact@gameresort.com
Privacy Policy
400 S MCCASLIN BLVD STE 205 LOUISVILLE, CO 80027 - 9701"
0,"['DVloper', 'Arcade']","5,92,611 total",Install,30 November 2020,88M,"50,000,000+",1.1.8,4.4 and up,"Rated for 16+
Strong violence
Learn more",none,none,DVloper,"Visit website
dvloper.apps@gmail.com
Privacy Policy
*******vägen"
0,"['BlackLight Studio Games', 'Card']","31,964 total",Install,9 December 2020,16M,"10,000,000+",7.7.4,4.3 and up,"Rated for 12+
Simulated gambling
Learn more","Users interact, In-game purchases",₹10.00 – ₹720.00 per item,BlackLight Studio Games,"Visit website
contact@blacklightsw.com
Privacy Policy
Noida, India"
0,"['Newry', 'Role Playing']","31,774 total",Install,26 November 2020,89M,"10,000,000+",1.0.24,5.1 and up,"Rated for 16+
Strong violence
Learn more",none,"₹140.00 – ₹4,300.00 per item",Newry,"Visit website
support@newry.es
Privacy Policy"
Editors' Choice,"['Playrix', 'Casual']","80,40,107 total",Install,6 November 2020,147M,"100,000,000+",7.9.0,4.2 and up,"Rated for 3+
Learn more","Users interact, Digital purchases","₹10.00 – ₹8,900.00 per item",Playrix,"Visit website
support@playrix.com
Privacy Policy
4th floor, Red Oak North, South County Business Park, Leopardstown, Dublin 18 D18 X5K7, Ireland"
0,"['Zuuks Games', 'Simulation']","6,26,712 total",Install,23 November 2020,49M,"50,000,000+",1.2.9,5.0 and up,"Rated for 3+
Learn more",Digital purchases,₹55.00 – ₹750.00 per item,Zuuks Games,"Visit website
help@zuuks.com
Privacy Policy
Istanbul , Turkey"
0,"['VOODOO', 'Arcade']","65,401 total",Install,9 December 2020,47M,"10,000,000+",1.4,4.4 and up,"Rated for 3+
Learn more",In-game purchases,₹280.00 per item,VOODOO,"Visit website
support@voodoo.io
Privacy Policy
4 rue Jules Lefebvre, 75009 Paris"
0,"['VOODOO', 'Arcade']","1,63,246 total",Install,30 November 2020,51M,"50,000,000+",1.11.1,4.4 and up,"Rated for 3+
Learn more",In-game purchases,₹280.00 per item,VOODOO,"Visit website
support@voodoo.io
Privacy Policy
4 rue Jules Lefebvre, 75009 Paris"
0,"['OneSoft Global PTE. LTD.', 'Adventure']","2,17,319 total",Install,29 October 2020,21M,"50,000,000+",1.2.6,4.1 and up,"Rated for 3+
Learn more",none,₹60.00 – ₹430.00 per item,OneSoft Global PTE. LTD.,"Visit website
imo@onesoft.com.vn
Privacy Policy
470 NORTH BRIDGE ROAD, SINGAPORE"
0,"['Rendered Ideas', 'Arcade']","7,741 total",Install,8 December 2020,54M,"1,000,000+",3.9,4.1 and up,"Rated for 3+
Learn more",In-game purchases,₹25.00 – ₹249.00 per item,Rendered Ideas,"Visit website
support@renderedideas.com
Privacy Policy
Office 4 - 8, Bldg 55, Station road, Mira road, Mumbai, Maharashtra 401107, India"
0,"['Centaurus Games', 'Adventure']","4,772 total",Install,27 November 2020,80M,"5,000,000+",19,5.0 and up,"Rated for 7+
Mild violence
Learn more",In-game purchases,"₹1,200.00 – ₹9,500.00 per item",Centaurus Games,"Visit website
centaurusgamerz@gmail.com
Privacy Policy
36, Scotts Road, Bromley, United Kingdom, BR1 3QD"
0,"['Bilkon', 'Music']","1,03,218 total",Install,6 October 2020,18M,"50,000,000+",1.17,4.4 and up,"Rated for 3+
Learn more",none,none,Bilkon,"Visit website
bilkontech@gmail.com
Privacy Policy
Bilkon Technology"
0,"['Jima Apps', 'Role Playing']","5,259 total",Install,21 October 2020,52M,"5,000,000+",1.4,4.4 and up,"Rated for 3+
Learn more",In-game purchases,"₹850.00 – ₹10,100.00 per item",Jima Apps,"Visit website
crownapps94@gmail.com
Privacy Policy
Khlong Toei, Bangkok, Thailand"
0,"['Nautilus Mobile', 'Sports']","1,12,794 total",Install,24 September 2020,38M,"10,000,000+",0.2.0,4.0.3 and up,"Rated for 3+
Learn more",In-game purchases,₹250.00 per item,Nautilus Mobile,"Visit website
support@nautilusmobile.com
Privacy Policy
Nautilus Mobile Pvt. Ltd. D.No 8.-2-684/III/9, Kanaka Durga Temple Lane. Banjara Hills Road No.12, Hyderabad - 500034, A.P. India"
0,"['Mobimi Games', 'Racing']","36,172 total",Install,25 November 2020,58M,"10,000,000+",2.2.2,4.4 and up,"Rated for 3+
Learn more",In-game purchases,₹89.00 per item,Mobimi Games,"Visit website
mobimigames@gmail.com
Privacy Policy
Sophia House 28 Cathedral Road Cardiff CF11 9LJ UK"
0,"['Mahal Games', 'Casino']",234 total,Install,14 November 2020,27M,"100,000+",1.0.4,4.4 and up,"Rated for 12+
Horror
Learn more",In-game purchases,"₹10.00 – ₹6,000.00 per item",Mahal Games,"jaasuroy123@gmail.com
Privacy Policy
S 515, Manipal Center,Mezzanine,Dickenson Road,Bangalore Karanataka-560042"
0,"['BabyBus', 'Educational']","2,913 total",Install,6 November 2020,65M,"1,000,000+",8.48.00.01,4.2 and up,"Rated for 3+
Learn more",none,none,BabyBus,"ser@mamaragames.com
Privacy Policy
702, 2-1-11 Nihonbashi Kayabacho Chuo-ku, Tokyo"
0,"['Top Free Games.', 'Racing']","29,09,202 total",Install,12 November 2020,31M,"100,000,000+",7.9.3,4.2 and up,"Rated for 3+
Learn more",Digital purchases,"₹80.00 – ₹8,300.00 per item",Top Free Games.,"Visit website
support+bikeraceandroid@topfreegames.com
Privacy Policy
Rua Dr Renato Paes de Barros 1017, COnjunto 81 Sao Paulo/SP - Brasil"
0,"['Naxeex Ltd', 'Simulation']","13,476 total",Install,5 December 2020,88M,"10,000,000+",1.4.3,4.4 and up,"Rated for 12+
Moderate violence
Learn more",In-game purchases,"₹20.00 – ₹9,600.00 per item",Naxeex Ltd,"Visit website
feedback@gmail.com
Privacy Policy
30B Gladstonos, 3041 Limassol, Cyprus"
0,"['Geisha Tokyo, Inc.', 'Arcade']","75,241 total",Install,7 November 2020,64M,"10,000,000+",1.3.11,4.1 and up,"Rated for 3+
Learn more",none,none,"Geisha Tokyo, Inc.","Visit website
hc+pizzaiolo@geishatokyo.com
Privacy Policy
〒113-0034 東京都文京区湯島3-31-1 中川ビル 202"
0,"['Yarsa Games', 'Board']","1,20,011 total",Install,14 October 2020,18M,"10,000,000+",0.12.10,4.4 and up,"Rated for 3+
Learn more",none,none,Yarsa Games,"Visit website
games@yarsa.io
Privacy Policy
Upakar Marga Pokhara 12 Kaski 33700 GA, Nepal"
0,"['WeeWoo Mobile', 'Action']","22,426 total",Install,17 November 2020,66M,"10,000,000+",1.1.10,5.0 and up,"Rated for 12+
Sexual innuendo
Learn more",In-game purchases,"₹170.00 – ₹7,400.00 per item",WeeWoo Mobile,"Visit website
support@weewoo.com
Privacy Policy
Calle Malteses, 2 - 2, las Palmas de gran Canaria, 35002 , Las Palmas, Spain"
0,"['SayGames', 'Simulation']","11,210 total",Install,9 December 2020,88M,"1,000,000+",1.0.24,5.0 and up,"Rated for 3+
Learn more",none,none,SayGames,"summervibesgames@gmail.com
Privacy Policy
220088, Republic of Belarus, Minsk, Antonovskaya 14b, office 300"
0,"['DVloper', 'Arcade']","30,14,514 total",Install,30 November 2020,99M,"100,000,000+",1.7.8,4.4 and up,"Rated for 12+
Moderate violence, Horror
Learn more",Digital purchases,none,DVloper,"Visit website
dvloper.apps@gmail.com
Privacy Policy
*******vägen"
0,"['BlackLight Studio Games', 'Board']","31,358 total",Install,13 November 2020,Varies with device,"10,000,000+",Varies with device,Varies with device,"Rated for 3+
Learn more",none,"₹35.00 – ₹2,800.00 per item",BlackLight Studio Games,"Visit website
feedback.bsw@gmail.com
Privacy Policy
Noida, India"
0,"['akseno2', 'Arcade']","4,14,236 total",Install,12 June 2020,58M,"50,000,000+",LokiCraft. 1.09,4.1 and up,"Rated for 12+
Horror
Learn more",none,none,akseno2,"Visit website
andrejaksenov280@gmail.com
Privacy Policy
andrejaksenov280@gmail.com"
0,"['Yso Corp', 'Puzzle']","16,771 total",Install,1 December 2020,81M,"10,000,000+",0.2.3,5.0 and up,"Rated for 7+
Mild violence
Learn more",none,₹310.00 per item,Yso Corp,"Visit website
contact@ysocorp.com
2 rue malleville 95880 Enghien les bains France"
0,"['Fun Shooting Games - FPS', 'Role Playing']","83,030 total",Install,23 October 2020,45M,"50,000,000+",2.0.3,4.1 and up,"Rated for 16+
Strong violence
Learn more",none,"₹160.00 – ₹8,100.00 per item",Fun Shooting Games - FPS,"Visit website
devgame66@gmail.com
Privacy Policy
Kowloon Peninsula, Hong Kong"
0,"['tastypill', 'Casual']","19,597 total",Install,8 September 2020,195M,"10,000,000+",1.6,7.0 and up,"Rated for 3+
Learn more",In-game purchases,₹260.00 – ₹520.00 per item,tastypill,"Visit website
support@tastypill.com
Privacy Policy
1880 W Oak Pkwy #216 Marietta, GA 30062"
0,"['CASUAL AZUR GAMES', 'Arcade']","1,55,989 total",Install,25 November 2020,71M,"50,000,000+",1.11.1,5.0 and up,"Rated for 3+
Learn more",In-game purchases,₹59.00 – ₹69.00 per item,CASUAL AZUR GAMES,"Visit website
info@aigames.ae
Privacy Policy
30929, Thuraya 1 Building, Premises 1009, Floor 10, Dubai"
0,"['Zapak Mobile Games Pvt. Ltd', 'Arcade']","13,603 total",Install,23 October 2020,75M,"10,000,000+",1.1.163,4.2 and up,"Rated for 3+
Learn more",In-game purchases,₹10.00 – ₹100.00 per item,Zapak Mobile Games Pvt. Ltd,"Visit website
support@zapak.com
Privacy Policy
801/ 802, Grandeur Lotus, Captain Sawant Marg, Andheri (W), Mumbai – 400 053"
0,"['TerranDroid', 'Racing']","6,27,775 total",Install,12 February 2020,25M,"50,000,000+",2.3,4.0 and up,"Rated for 3+
Learn more",Digital purchases,"₹133.36 – ₹6,667.80 per item",TerranDroid,"Visit website
support@terrandroid.com
Privacy Policy
Suite 603,6th Floor,Laws Commercial Plaza 788 Cheung Sha Wan Road Kowloon,Hong Kong"
0,"['Spartans Global INC.', 'Adventure']","43,298 total",Install,20 November 2020,48M,"10,000,000+",20.5.1.12,4.1 and up,"Rated for 3+
Learn more",In-game purchases,₹99.00 – ₹920.00 per item,Spartans Global INC.,"Visit website
sguser.ms@gmail.com
Privacy Policy
Burj Al-Madina 3rd Floor Deira Dubai UAE"
0,"['mobadu', 'Racing']","23,717 total",Install,3 December 2020,48M,"10,000,000+",1.35,4.4 and up,"Rated for 7+
Fear
Learn more",In-game purchases,₹32.00 – ₹520.00 per item,mobadu,"Visit website
mobadu@mobadu.pl
Privacy Policy
Górczewska 01-460 Warszawa Polska"
0,"['MOUNTAIN GAME', 'Sports']","23,51,053 total",Install,3 December 2020,42M,"100,000,000+",2.20,4.1 and up,"Rated for 3+
Learn more",none,none,MOUNTAIN GAME,"Visit website
zhangli332211@gmail.com
Privacy Policy
Flat 1802B, Fortress Tower, 250 King's Road, North Piont"
0,"['SOTEC APPS', 'Adventure']","28,597 total",Install,17 November 2020,83M,"10,000,000+",1.0.31,4.1 and up,"Rated for 16+
Strong violence
Learn more",In-game purchases,"₹199.00 – ₹1,999.00 per item",SOTEC APPS,"Visit website
cso@sotec.es
Privacy Policy
avenida de brasil, 17, 28020, madrid, spain."
0,"['GAMEE', 'Casual']","20,137 total",Install,10 December 2020,Varies with device,"1,000,000+",1.7.1,4.4 and up,"Rated for 3+
Learn more",In-game purchases,₹75.00 – ₹850.00 per item,GAMEE,"Visit website
giangnd@ohze.net
15 Pham Hung, Nam Tu Liem,"
0,"['hua weiwei', 'Puzzle']","14,51,529 total",Install,30 November 2020,21M,"100,000,000+",41.0,4.0.3 and up,"Rated for 3+
Learn more",none,none,hua weiwei,"Visit website
hucuawe@gmail.com
Privacy Policy"
0,"['Playgendary Limited', 'Arcade']","1,37,060 total",Install,15 July 2020,95M,"10,000,000+",1.5.2,5.0 and up,"Rated for 3+
Learn more",none,₹249.00 – ₹499.00 per item,Playgendary Limited,"Visit website
support@playgendary.com
Privacy Policy
Maximos Michailidis 6 MAXIMOS PLAZA TOWER 3 3106 Limassol Cyprus support@playgendary.com"
0,"['Ace Viral', 'Action']","35,704 total",Install,2 December 2020,45M,"10,000,000+",1.4.12,4.4 and up,"Rated for 3+
Learn more",Digital purchases,"₹39.00 – ₹1,999.00 per item",Ace Viral,"Visit website
support@aceviral.com
Privacy Policy
16 Birchwood, Sunderland, SR4 0AP"
Ages up to 12,"['RV AppStudios', 'Educational']","19,879 total",Install,11 November 2020,38M,"10,000,000+",1.0.8,4.1 and up,"Rated for 3+
Learn more",none,none,RV AppStudios,"Visit website
app_support@rvappstudios.com
Privacy Policy
848 N. Rainbow Blvd. #5467 Las Vegas, NV 89107"
0,"['Bubble Shooter', 'Casual']","12,01,384 total",Install,1 December 2020,23M,"100,000,000+",12.1.9,4.1 and up,"Rated for 3+
Learn more",Digital purchases,"₹34.99 – ₹8,300.00 per item",Bubble Shooter,"Visit website
supportoriginal@ilyon.net
Privacy Policy
Lev Haarets Rosh Haayin"
0,"['CASUAL AZUR GAMES', 'Arcade']","13,858 total",Install,1 December 2020,57M,"10,000,000+",0.7,5.1 and up,"Rated for 7+
Mild violence
Learn more",none,none,CASUAL AZUR GAMES,"Visit website
gelmanova.m@azurgames.com
Privacy Policy
30929, Thuraya 1 Building, Premises 1009, Floor 10, Dubai"
0,"['Games Wing', 'Role Playing']","21,649 total",Install,2 December 2020,37M,"10,000,000+",3.5,4.4 and up,"Rated for 12+
Sexual innuendo
Learn more","Shares location, In-game purchases","₹800.00 – ₹12,200.00 per item",Games Wing,"Visit website
gameswingstudio@gmail.com
Privacy Policy
バリアタウンラホール"
0,"['GIANTS Software', 'Simulation']","1,50,383 total",Install,20 April 2020,17M,"10,000,000+",1.1.2.6,5.0 and up,"Rated for 3+
Learn more",In-game purchases,₹95.00 – ₹280.00 per item,GIANTS Software,"Visit website
support@giants-software.com
Privacy Policy
Wiesenstrasse 19 8952 Schlieren Switzerland"
0,"['OneSoft Global PTE. LTD.', 'Adventure']","3,63,781 total",Install,26 November 2020,Varies with device,"50,000,000+",Varies with device,4.4 and up,"Rated for 3+
Learn more",none,₹50.00 – ₹400.00 per item,OneSoft Global PTE. LTD.,"Visit website
casual.support@onesoft.com.vn
Privacy Policy
470 NORTH BRIDGE ROAD, SINGAPORE"
0,"['Enjoy.GameStudio.Fun', 'Adventure']","94,621 total",Install,19 November 2020,Varies with device,"10,000,000+",1.1.9,4.4 and up,"Rated for 16+
Strong violence
Learn more",In-game purchases,"₹170.00 – ₹8,700.00 per item",Enjoy.GameStudio.Fun,"Visit website
fun.game.jhon@gmail.com
Privacy Policy
15-17 Hing Yip Street, Kwun Tong, Kowloon, Hong Kong"
0,"['TutoTOONS', 'Educational']","42,639 total",Install,8 December 2020,77M,"10,000,000+",7.0.30018,4.4 and up,"Rated for 3+
Learn more",In-app purchases,₹49.00 – ₹249.00 per item,TutoTOONS,"Visit website
support@tutotoons.com
Privacy Policy
Summit House 4-5 Mitchell Street Edinburgh EH6 7BD United Kingdom"
Editors' Choice,"['Outfit7 Limited', 'Action']","43,63,003 total",Install,24 November 2020,91M,"100,000,000+",4.8.0.823,4.4 and up,"Rated for 7+
Mild violence
Learn more",In-game purchases,"₹45.00 – ₹8,600.00 per item",Outfit7 Limited,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus"
0,"['Geisha Tokyo, Inc.', 'Action']","2,22,326 total",Install,9 November 2020,66M,"50,000,000+",1.8.4,4.1 and up,"Rated for 3+
Learn more",none,₹220.00 per item,"Geisha Tokyo, Inc.","Visit website
hc+trafficrun@geishatokyo.com
Privacy Policy
〒113-0034 東京都文京区湯島3-31-1 中川ビル 202"
0,"['Crazy Labs by TabTale', 'Arcade']","52,723 total",Install,17 November 2020,88M,"10,000,000+",1.5.8,4.4 and up,"Rated for 12+
Moderate violence, Mild swearing
Learn more",In-game purchases,₹230.00 per item,Crazy Labs by TabTale,"Visit website
support@crazylabs.com
Privacy Policy
24 Raul Wallenberg, Ziv towers, Building D, Tel Aviv, Israel, 6971924"
0,"['Epic Squad Firing Games', 'Action']","67,134 total",Install,28 October 2020,53M,"10,000,000+",2.6,4.4 and up,"Rated for 18+
Extreme violence
Learn more",Digital purchases,none,Epic Squad Firing Games,"Visit website
support@socem.com
Privacy Policy"
0,"['King', 'Casual']","78,34,926 total",Install,8 December 2020,Varies with device,"100,000,000+",1.182.10,4.1 and up,"Rated for 3+
Learn more","Shares info, Digital purchases","₹79.00 – ₹11,900.00 per item",King,"Visit website
candycrushsoda.techhelp@king.com
Privacy Policy
King.com Limited Aragon Business Centre, Level 4, Dragonara Road, St Julians STJ3140, Malta"
0,"['tastypill', 'Casual']","3,16,749 total",Install,19 November 2020,70M,"100,000,000+",1.78,5.0 and up,"Rated for 3+
Learn more",In-game purchases,₹250.00 – ₹490.00 per item,tastypill,"Visit website
support@tastypill.com
Privacy Policy
1880 W Oak Pkwy #216 Marietta, GA 30062"
0,"['Brave Jackals', 'Adventure']","5,138 total",Install,6 November 2020,47M,"5,000,000+",2.8,4.4 and up,"Rated for 12+
Moderate violence, Horror
Learn more",In-game purchases,"₹260.00 – ₹2,600.00 per item",Brave Jackals,"Visit website
appstrend987@gmail.com
Privacy Policy
Lahore"
0,"['Soner Kara', 'Racing']","59,54,363 total",Install,27 May 2020,59M,"100,000,000+",3.3,4.1 and up,"Rated for 3+
Learn more",In-game purchases,"₹170.00 – ₹5,100.00 per item",Soner Kara,"Visit website
trafficracergame@gmail.com
Privacy Policy
Susuz Mah, Etimesgut, 06820, Ankara / TURKEY"
0,"['Good Job Games', 'Puzzle']","1,19,794 total",Install,2 December 2020,Varies with device,"10,000,000+",0.82,5.0 and up,"Rated for 3+
Learn more",none,₹350.00 per item,Good Job Games,"Visit website
contact@goodjobgames.com
Privacy Policy
Akat Mahallesi Besiktas Istanbul Turkey"
0,"['The Knights Pvt Ltd', 'Simulation']","1,16,792 total",Install,1 December 2020,49M,"50,000,000+",3.82,4.4 and up,"Rated for 3+
Learn more",Digital purchases,"₹85.00 – ₹3,050.00 per item",The Knights Pvt Ltd,"Visit website
knights.techhelp@gmail.com
Privacy Policy
Saham, Oman"
Editors' Choice,"['PlayKids Inc', 'Adventure']","14,04,575 total",Install,5 December 2020,137M,"50,000,000+",0.20.0,4.4 and up,"Rated for 3+
Learn more",none,"₹70.00 – ₹16,000.00 per item",PlayKids Inc,"Visit website
support@playkids.com
Privacy Policy
Av. Coronel Silva Telles, 977 5o andar Campinas - SP - Brasil"
0,"['KAYAC Inc.', 'Puzzle']","68,955 total",Install,7 December 2020,69M,"10,000,000+",1.8.2,5.0 and up,"Rated for 3+
Learn more",none,none,KAYAC Inc.,"Visit website
paintdropper-info@kayac.com
Privacy Policy
神奈川県鎌倉市御成町11-8"
0,"['New Feature Games - Story Based Games', 'Role Playing']","23,252 total",Install,13 August 2020,76M,"10,000,000+",4.7,4.1 and up,"Rated for 3+
Learn more",none,"₹80.00 – ₹2,450.00 per item",New Feature Games - Story Based Games,"Visit website
publisher@games.miczon.com
Privacy Policy
नई फ़ीचर गेम्स सैटेलाइट टाउन झांग"
0,"['Bubblegum Games', 'Casual']","45,394 total",Install,27 November 2020,179M,"5,000,000+",2.1.1,4.4 and up,"Rated for 3+
Learn more",In-game purchases,"₹85.00 – ₹8,900.00 per item",Bubblegum Games,"Visit website
feedback@makeover.vip
Privacy Policy"
0,"['Lion Studios', 'Casual']","8,58,042 total",Install,4 December 2020,42M,"100,000,000+",1.2.5,4.4 and up,"Rated for 16+
Strong violence
Learn more",none,₹180.00 – ₹260.00 per item,Lion Studios,"Visit website
supertapx@lionstudios.cc
Privacy Policy
1100 Page Mill Road Palo Alto, CA 94304"
0,"['New fun games', 'Role Playing']","16,995 total",Install,20 October 2020,49M,"5,000,000+",3.0.4,4.4 and up,"Rated for 12+
Moderate violence
Learn more",none,₹85.00 – ₹790.00 per item,New fun games,"Visit website
appsandgames19@gmail.com
Privacy Policy"
0,"['Bright Geeks', 'Casual']","38,180 total",Install,3 November 2020,89M,"1,000,000+",1.0.9,5.0 and up,"Rated for 3+
Learn more",none,none,Bright Geeks,"feedback@urtossall.com
Privacy Policy
AA-177 Shalimar Bagh"
Editors' Choice,"['VNG GAME STUDIOS', 'Action']","19,17,649 total",Install,4 November 2020,Varies with device,"100,000,000+",Varies with device,4.1 and up,"Rated for 16+
Strong violence
Learn more",In-game purchases,"₹10.00 – ₹8,800.00 per item",VNG GAME STUDIOS,"Visit website
support.global@vng.com.vn
Privacy Policy
182 Le Dai Hanh, Ward 15, District 11, HCMC"
0,"['FUNNII', 'Puzzle']","2,424 total",Install,2 December 2020,40M,"1,000,000+",1.1.3,4.4 and up,"Rated for 12+
Sexual innuendo, Horror
Learn more",In-game purchases,₹85.00 – ₹890.00 per item,FUNNII,"store@funnii.net
Privacy Policy
20 COLLYER QUAY, SINGAPORE (049319)"
0,"['C.C.T Games', 'Action']","13,731 total",Install,27 November 2020,71M,"5,000,000+",1.9.7,4.4 and up,"Rated for 12+
Moderate violence
Learn more",In-game purchases,"₹85.00 – ₹1,700.00 per item",C.C.T Games,"Visit website
zoey.wangdi@gmail.com
Privacy Policy"
0,"['Mamara Games', 'Educational']","11,047 total",Install,9 November 2020,50M,"10,000,000+",8.48.00.01,4.2 and up,"Rated for 3+
Learn more",none,₹10.00 – ₹360.00 per item,Mamara Games,"ser@mamaragames.com
Privacy Policy
Room 201, 2nd Floor, No. 10 Jinzhou North Road, Jianxin Town, Cangshan District, Fuzhou City, Fujian Province, China"
Editors' Choice,"['GARENA INTERNATIONAL I PRIVATE LIMITED', 'Action']","7,09,77,748 total",Install,5 December 2020,46M,"500,000,000+",1.56.1,4.1 and up,"Rated for 12+
Moderate violence
Learn more","Users interact, In-game purchases","₹10.00 – ₹9,000.00 per item",GARENA INTERNATIONAL I PRIVATE LIMITED,"Visit website
freefire@garena.com
Privacy Policy
1 FUSIONOPOLIS PLACE, 17-10, GALAXIS, Singapore"
0,"['Activision Publishing, Inc.', 'Action']","1,17,80,756 total",Install,11 October 2020,87M,"100,000,000+",1.0.17,4.3 and up,"Rated for 16+
Strong violence
Learn more","Users interact, In-game purchases","₹10.00 – ₹7,900.00 per item","Activision Publishing, Inc.","Visit website
CoDMobile@activision.com
Privacy Policy
3100 Ocean Park Blvd. Santa Monica, California, 90405"
Editors' Choice,"['Supercell', 'Strategy']","5,45,22,194 total",Install,7 December 2020,150M,"500,000,000+",13.675.6,4.4 and up,"Rated for 7+
Mild violence
Learn more","Users interact, Digital purchases","₹89.00 – ₹8,900.00 per item",Supercell,"Visit website
gp-info@supercell.com
Privacy Policy
Itamerenkatu 11-13 00180 Helsinki Finland"
0,"['Moon Active', 'Casual']","47,37,527 total",Install,9 November 2020,Varies with device,"100,000,000+",3.5.211,4.1 and up,"Rated for 12+
Simulated gambling
Learn more",In-game purchases,"₹10.00 – ₹25,000.00 per item",Moon Active,"Visit website
support@coinmastergame.com
Privacy Policy
Mikve Israel St 7, Tel Aviv-Yafo"
0,"['Octro, Inc.', 'Casino']","14,81,706 total",Install,1 December 2020,72M,"50,000,000+",7.80,6.0 and up,"Rated for 12+
Gambling
Learn more","Users interact, Digital purchases","₹10.00 – ₹26,000.00 per item","Octro, Inc.","Visit website
teenpatti.support@octro.com
Privacy Policy
2222 Jurgensen Ln, Sugarland, TX 77479, USA"
Editors' Choice,"['IGG.COM', 'Strategy']","57,57,771 total",Install,10 December 2020,78M,"100,000,000+",2.33,4.0.3 and up,"Rated for 7+
Mild violence
Learn more","Users interact, In-game purchases","₹10.00 – ₹25,700.00 per item",IGG.COM,"Visit website
help.lordsmobile.android@igg.com
Privacy Policy
80 Pasir Panjang Road #18-84 Mapletree Business City Singapore 117372"
